"","Iteration","Num_Selected","Selected_Predictors","Sensitivity","Specificity","TP","TN","FP","FN"
"92",92,7,"P72, P81, P94, P143, P244, P256, P292",0.896907216494845,0.805825242718447,87,83,20,10
"93",93,9,"P32, P63, P72, P81, P94, P143, P244, P256, P292",0.853932584269663,0.846846846846847,76,94,17,13
"94",94,8,"P26, P72, P81, P94, P143, P244, P256, P292",0.891304347826087,0.787037037037037,82,85,23,10
"95",95,11,"P32, P63, P72, P91, P94, P109, P143, P211, P244, P256, P292",0.88785046728972,0.903225806451613,95,84,9,12
"96",96,6,"P63, P94, P143, P244, P256, P292",0.831775700934579,0.806451612903226,89,75,18,18
"97",97,10,"P26, P63, P72, P81, P94, P109, P143, P244, P256, P292",0.885416666666667,0.884615384615385,85,92,12,11
"98",98,11,"P26, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.852941176470588,0.877551020408163,87,86,12,15
"99",99,9,"P32, P63, P81, P91, P94, P143, P244, P256, P292",0.825688073394495,0.923076923076923,90,84,7,19
"100",100,6,"P63, P81, P94, P143, P256, P292",0.86,0.87,86,87,13,14
"101",101,8,"P63, P72, P81, P94, P143, P244, P256, P292",0.868421052631579,0.872093023255814,99,75,11,15
"102",102,9,"P32, P72, P81, P91, P94, P143, P244, P256, P292",0.914285714285714,0.842105263157895,96,80,15,9
"103",103,8,"P7, P32, P81, P94, P143, P244, P256, P292",0.87378640776699,0.876288659793814,90,85,12,13
"104",104,10,"P26, P32, P72, P81, P91, P94, P143, P244, P256, P292",0.841121495327103,0.935483870967742,90,87,6,17
"105",105,9,"P26, P32, P81, P91, P94, P143, P244, P256, P292",0.893203883495146,0.824742268041237,92,80,17,11
"106",106,8,"P26, P63, P81, P91, P94, P244, P256, P292",0.875,0.84375,91,81,15,13
"107",107,11,"P26, P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.918367346938776,0.88235294117647,90,90,12,8
"108",108,9,"P26, P32, P63, P81, P91, P94, P143, P256, P292",0.804347826086957,0.842592592592593,74,91,17,18
"109",109,12,"P26, P32, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.897959183673469,0.843137254901961,88,86,16,10
"110",110,9,"P63, P72, P81, P91, P94, P143, P244, P256, P292",0.850877192982456,0.825581395348837,97,71,15,17
"111",111,9,"P32, P63, P91, P94, P143, P211, P244, P256, P292",0.862745098039216,0.887755102040816,88,87,11,14
"112",112,11,"P32, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.926315789473684,0.866666666666667,88,91,14,7
"113",113,4,"P81, P94, P256, P292",0.808510638297872,0.867924528301887,76,92,14,18
"114",114,9,"P63, P72, P81, P91, P94, P143, P244, P256, P292",0.87,0.81,87,81,19,13
"115",115,7,"P26, P63, P94, P143, P244, P256, P292",0.845360824742268,0.883495145631068,82,91,12,15
"116",116,8,"P63, P72, P81, P91, P94, P244, P256, P292",0.846153846153846,0.864583333333333,88,83,13,16
"117",117,12,"P26, P32, P63, P81, P91, P94, P109, P143, P211, P244, P256, P292",0.936170212765957,0.830188679245283,88,88,18,6
"118",118,8,"P26, P63, P72, P81, P94, P143, P256, P292",0.83,0.88,83,88,12,17
"119",119,7,"P63, P72, P94, P143, P244, P256, P292",0.871559633027523,0.868131868131868,95,79,12,14
"120",120,9,"P32, P63, P72, P81, P94, P143, P244, P256, P292",0.852631578947368,0.828571428571429,81,87,18,14
"121",121,6,"P32, P63, P94, P143, P256, P292",0.861386138613861,0.808080808080808,87,80,19,14
"122",122,8,"P26, P63, P81, P91, P94, P143, P256, P292",0.864077669902913,0.865979381443299,89,84,13,14
"123",123,9,"P26, P63, P81, P91, P94, P143, P244, P256, P292",0.87,0.91,87,91,9,13
"124",124,10,"P26, P32, P63, P72, P81, P94, P143, P244, P256, P292",0.858585858585859,0.891089108910891,85,90,11,14
"125",125,9,"P32, P72, P81, P91, P94, P143, P244, P256, P292",0.897959183673469,0.872549019607843,88,89,13,10
"126",126,8,"P26, P81, P91, P94, P143, P244, P256, P292",0.822429906542056,0.881720430107527,88,82,11,19
"127",127,8,"P26, P63, P81, P91, P94, P143, P256, P292",0.81651376146789,0.835164835164835,89,76,15,20
"128",128,10,"P26, P32, P63, P72, P81, P94, P143, P244, P256, P292",0.895833333333333,0.894230769230769,86,93,11,10
"129",129,11,"P26, P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.904761904761905,0.894736842105263,95,85,10,10
"130",130,7,"P32, P72, P81, P94, P143, P256, P292",0.885714285714286,0.873684210526316,93,83,12,12
"131",131,9,"P26, P32, P72, P81, P94, P143, P244, P256, P292",0.89,0.9,89,90,10,11
"132",132,6,"P81, P94, P143, P244, P256, P292",0.807692307692308,0.885416666666667,84,85,11,20
"133",133,11,"P32, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.919191919191919,0.841584158415842,91,85,16,8
"134",134,10,"P32, P63, P72, P81, P94, P143, P244, P256, P291, P292",0.853211009174312,0.857142857142857,93,78,13,16
"135",135,7,"P63, P72, P94, P143, P244, P256, P292",0.835164835164835,0.834862385321101,76,91,18,15
"136",136,12,"P7, P26, P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.887755102040816,0.88235294117647,87,90,12,11
"137",137,11,"P26, P32, P63, P81, P91, P94, P143, P211, P244, P256, P292",0.900990099009901,0.878787878787879,91,87,12,10
"138",138,10,"P26, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.868131868131868,0.798165137614679,79,87,22,12
"139",139,11,"P26, P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.892156862745098,0.86734693877551,91,85,13,11
"140",140,8,"P32, P63, P91, P94, P143, P244, P256, P292",0.909090909090909,0.892857142857143,80,100,12,8
